,Name,Age,Nationality,Overall,Potential,Club,Value(€),Wage(€),Height,Weight(lbs),Continent
3734,G. Barry,37,United Kingdom,72,72,West Bromwich Albion,425000.0,16000.0,6'0,172.0,Europe
3735,J. Bottinelli,33,Argentina,72,72,Unión de Santa Fe,1300000.0,10000.0,5'11,174.0,South America
3736,D. Dibusz,27,Hungary,72,73,,0.0,0.0,6'2,179.0,Europe
3737,I. Diomandé,25,Ivory Coast,72,77,Stade Malherbe Caen,3500000.0,14000.0,6'0,181.0,Africa
3738,Y. Al Shahrani,26,Saudi Arabia,72,74,Al Hilal,3100000.0,24000.0,5'7,134.0,Asia
3739,N. Boilesen,26,Denmark,72,74,FC København,3100000.0,14000.0,6'1,165.0,Europe
3740,S. Ben Youssef,29,Tunisia,72,73,Kasimpaşa SK,2700000.0,11000.0,6'2,181.0,Africa
3741,G. Sara,30,Argentina,72,72,Club Atlético Lanús,2000000.0,10000.0,6'0,185.0,South America
3742,J. Otero,23,Colombia,72,79,Amiens SC,4400000.0,12000.0,6'0,154.0,South America
3743,A. Biyogo Poko,25,Gabon,72,76,Göztepe SK,3900000.0,17000.0,5'8,159.0,Africa
3744,L. Castellanos,34,Colombia,72,72,Independiente Santa Fe,1300000.0,3000.0,6'0,172.0,South America
3745,N. Maraš,22,Serbia,72,80,GD Chaves,3900000.0,6000.0,6'1,172.0,Europe
3746,T. Letschert,25,Netherlands,72,75,FC Utrecht,3300000.0,28000.0,6'2,185.0,Europe
3747,F. Fontanini,28,Argentina,72,73,Newell's Old Boys,2800000.0,13000.0,5'11,176.0,South America
3748,A. Hruška,32,Czech Republic,72,72,Viktoria Plzeň,1800000.0,1000.0,6'4,194.0,Europe
3749,Martos,34,Spain,72,72,Sporting de Charleroi,950000.0,10000.0,5'11,163.0,Europe
3750,J. Jeanvier,25,France,72,76,Brentford,3400000.0,26000.0,6'1,185.0,Europe
3751,J. Tagueu,24,Cameroon,72,75,Clube Sport Marítimo,4000000.0,8000.0,5'10,172.0,Africa
3752,C. Terzi,34,Italy,72,72,Spezia,950000.0,4000.0,5'11,152.0,Europe
3753,I. Piris,29,Paraguay,72,72,Newell's Old Boys,2400000.0,29000.0,5'8,161.0,South America
3754,S. Moreira,23,France,72,78,Toulouse Football Club,3600000.0,16000.0,5'10,159.0,Europe
3755,Aketxe,24,Spain,72,78,Cádiz CF,4300000.0,6000.0,5'9,148.0,Europe
3756,S. Rieks,31,Denmark,72,72,Malmö FF,2700000.0,6000.0,6'1,165.0,Europe
3757,F. Moubandje,28,Switzerland,72,72,Toulouse Football Club,2500000.0,19000.0,5'11,163.0,Europe
3758,P. Ankersen,27,Denmark,72,72,FC København,2600000.0,14000.0,5'10,165.0,Europe
3759,C. Falletti,25,Uruguay,72,75,Palermo,3900000.0,21000.0,5'7,143.0,South America
3760,Allano,23,Brazil,72,80,Bursaspor,4600000.0,13000.0,6'0,161.0,South America
3761,J. Morávek,28,Czech Republic,72,72,FC Augsburg,3100000.0,18000.0,5'11,170.0,Europe
3762,C. Riaño,29,Argentina,72,72,Club Necaxa,3100000.0,12000.0,5'10,165.0,South America
3763,Aythami Artiles,32,Spain,72,72,Córdoba CF,1800000.0,7000.0,6'0,172.0,Europe
3764,J. Risdon,25,Australia,72,75,Western Sydney Wanderers,3200000.0,7000.0,5'6,154.0,Oceania
3765,E. Alioski,26,North Macedonia,72,73,Leeds United,3700000.0,30000.0,5'8,139.0,Europe
3766,C. Robinson,23,Ireland,72,80,Preston North End,4600000.0,10000.0,5'10,165.0,Europe
3767,S. Bastien,21,Belgium,72,81,Standard de Liège,4800000.0,9000.0,5'9,161.0,Europe
3768,João Talocha,28,Portugal,72,72,Boavista FC,2500000.0,7000.0,5'11,165.0,Europe
3769,J. Pollersbeck,23,Germany,72,79,Hamburger SV,3200000.0,7000.0,6'5,192.0,Europe
3770,M. Abeid,25,Algeria,72,74,Dijon FCO,3200000.0,10000.0,5'10,187.0,Africa
3771,M. Rzatkowski,28,Germany,72,72,New York Red Bulls,3100000.0,26000.0,5'8,146.0,Europe
3772,Marcão,22,Brazil,72,78,GD Chaves,3600000.0,6000.0,6'1,179.0,South America
3773,Álvaro,27,Spain,72,73,Real Zaragoza,3600000.0,20000.0,6'0,172.0,Europe
3774,B. Perlaza,26,Colombia,72,75,Independiente Santa Fe,3200000.0,4000.0,6'2,183.0,South America
3775,R. Sallai,21,Hungary,72,80,SC Freiburg,4600000.0,13000.0,6'0,170.0,Europe
3776,B. Kamara,18,France,72,88,Olympique de Marseille,6000000.0,11000.0,5'10,150.0,Europe
3777,T. Beugelsdijk,27,Netherlands,72,72,ADO Den Haag,2600000.0,7000.0,6'4,174.0,Europe
3778,G. Giménez,26,Argentina,72,73,Vélez Sarsfield,3600000.0,11000.0,6'0,176.0,South America
3779,K. Lafferty,30,United Kingdom,72,72,Rangers FC,3000000.0,38000.0,6'4,194.0,Europe
3780,L. Díaz,21,Colombia,72,83,Junior FC,5500000.0,3000.0,5'11,161.0,South America
3781,L. Benito,26,Switzerland,72,75,BSC Young Boys,3200000.0,15000.0,6'0,187.0,Europe
3782,Raúl Lizoain,27,Spain,72,74,AD Alcorcón,2500000.0,6000.0,6'1,176.0,Europe
3783,L. Reyes,27,Chile,72,73,Club Atlas,3500000.0,16000.0,5'9,165.0,South America
3784,P. Bardsley,33,United Kingdom,72,72,Burnley,1200000.0,32000.0,5'11,174.0,Europe
3785,Jonas Damasto,34,Brazil,72,72,Paraná,875000.0,14000.0,5'10,152.0,South America
3786,P. Da Silva,38,Paraguay,72,72,,0.0,0.0,5'11,168.0,South America
3787,M. Rodríguez,23,Chile,72,78,U.N.A.M.,4300000.0,14000.0,5'7,150.0,South America
3788,J. Hugill,26,United Kingdom,72,75,Middlesbrough,3900000.0,51000.0,6'0,187.0,Europe
3789,Thiago Cionek,32,Poland,72,72,SPAL,1800000.0,10000.0,6'0,176.0,Europe
3790,A. Struna,27,Slovenia,72,73,Palermo,2900000.0,3000.0,6'3,190.0,Europe
3791,R. Salinas,30,Mexico,72,72,Deportivo Toluca,2200000.0,16000.0,5'11,172.0,North America
3792,Salva Sevilla,34,Spain,72,72,RCD Mallorca,1500000.0,8000.0,5'10,157.0,Europe
3793,Y. Bissouma,21,Mali,72,82,Brighton & Hove Albion,5000000.0,23000.0,6'0,176.0,Africa
3794,M. Rohdén,27,Sweden,72,72,Crotone,3200000.0,4000.0,6'0,168.0,Europe
3795,M. Demir,26,Turkey,72,74,Sivasspor,3800000.0,12000.0,5'11,152.0,Asia
3796,D. Lezcano,28,Paraguay,72,72,FC Ingolstadt 04,3200000.0,21000.0,5'10,174.0,South America
3797,J. Puncheon,32,United Kingdom,72,72,Crystal Palace,2400000.0,35000.0,5'8,146.0,Europe
3798,M. Abarhoun,29,Morocco,72,72,Moreirense FC,2400000.0,5000.0,6'2,165.0,Africa
3799,W. Owusu,28,Ghana,72,72,Royal Antwerp FC,3200000.0,11000.0,6'1,163.0,Africa
3800,Rúben Fernandes,32,Portugal,72,72,Portimonense SC,1800000.0,7000.0,6'1,172.0,Europe
3801,E. López,23,Mexico,72,76,Guadalajara,4099999.9999999995,23000.0,5'6,146.0,North America
3802,O. Rivero,26,Uruguay,72,75,Club Atlas,3900000.0,17000.0,6'2,181.0,South America
3803,Joshuando Sá,34,Brazil,72,72,Santos,875000.0,12000.0,6'0,179.0,South America
3804,L. Martínez,20,Argentina,72,80,Defensa y Justicia,4000000.0,7000.0,5'9,154.0,South America
3805,O. Şişmanoğlu,28,Germany,72,72,Yeni Malatyaspor,3200000.0,13000.0,6'1,183.0,Europe
3806,A. Zaldívar,24,Mexico,72,77,Guadalajara,4200000.0,25000.0,5'10,168.0,North America
3807,D. Guzman,28,Costa Rica,72,73,Portland Timbers,2800000.0,6000.0,5'10,174.0,North America
3808,J. Jones,23,United Kingdom,72,77,Kilmarnock,4200000.0,5000.0,5'9,134.0,Europe
3809,J. Güemez,26,Mexico,72,73,Querétaro,3000000.0,8000.0,5'8,163.0,North America
3810,Jeff Meirson,26,Brazil,72,72,América FC (Minas Gerais),2600000.0,11000.0,5'10,170.0,South America
3811,Camacho,24,Portugal,72,78,CD Nacional,4300000.0,9000.0,5'7,165.0,Europe
3812,Nuno da Costa,27,Cape Verde,72,73,RC Strasbourg Alsace,3600000.0,15000.0,6'0,154.0,Africa
3813,T. Zengin,34,Turkey,72,72,Beşiktaş JK,1300000.0,23000.0,6'4,198.0,Asia
3814,B. Jeannot,26,France,72,74,Dijon FCO,3800000.0,12000.0,6'0,172.0,Europe
3815,M. Oikonomou,25,Greece,72,76,AEK Athens,3400000.0,1000.0,6'2,187.0,Europe
3816,P. Stojanović,22,Slovenia,72,78,Dinamo Zagreb,3600000.0,1000.0,5'10,159.0,Europe
3817,B. Sarmiento,28,Argentina,72,72,Newell's Old Boys,3100000.0,14000.0,5'7,146.0,South America
3818,J. Hamad,27,Sweden,72,72,Hammarby IF,3300000.0,5000.0,5'8,159.0,Europe
3819,A. Al Habsi,36,Oman,72,72,Al Hilal,425000.0,12000.0,6'4,205.0,Asia
3820,L. Miranda,24,Argentina,72,78,Defensa y Justicia,3600000.0,8000.0,5'8,154.0,South America
3821,R. Holzhauser,25,Austria,72,76,Grasshopper Club Zürich,3400000.0,10000.0,6'4,185.0,Europe
3822,Dani Giménez,34,Spain,72,72,Deportivo de La Coruña,1300000.0,6000.0,6'0,170.0,Europe
3823,Maycon,20,Brazil,72,84,Shakhtar Donetsk,5500000.0,1000.0,5'8,157.0,South America
3824,H. Kiyotake,28,Japan,72,72,Cerezo Osaka,3100000.0,7000.0,5'8,146.0,Asia
3825,D. Maroh,31,Slovenia,72,72,KFC Uerdingen 05,2100000.0,6000.0,6'1,187.0,Europe
3826,E. Şen,29,Belgium,72,72,MKE Ankaragücü,2400000.0,15000.0,5'11,165.0,Europe
3827,K. Onisiwo,26,Austria,72,72,1. FSV Mainz 05,3300000.0,19000.0,6'2,187.0,Europe
3828,S. Juklerød,24,Norway,72,77,Royal Antwerp FC,3500000.0,8000.0,6'2,176.0,Europe
3829,P. Stenzel,22,Germany,72,77,SC Freiburg,3500000.0,14000.0,6'0,163.0,Europe
3830,M. Camara,21,Guinea,72,82,Olympiacos CFP,4400000.0,1000.0,5'11,179.0,Africa
3831,Douglas,30,Brazil,72,72,Shimizu S-Pulse,3000000.0,4000.0,6'0,163.0,South America
3832,D. Le Tallec,28,France,72,73,Montpellier HSC,2800000.0,17000.0,6'2,176.0,Europe
3833,R. Gosens,23,Germany,72,77,Atalanta,4200000.0,16000.0,6'0,168.0,Europe
3834,R. Bobadilla,31,Paraguay,72,72,Argentinos Juniors,2800000.0,11000.0,5'10,201.0,South America
3835,K. Wolze,28,Germany,72,72,MSV Duisburg,2500000.0,7000.0,5'9,154.0,Europe
3836,C. Basham,29,United Kingdom,72,72,Sheffield United,2400000.0,10000.0,6'3,176.0,Europe
3837,J. Cabot,24,France,72,78,FC Lorient,4300000.0,6000.0,5'5,141.0,Europe
3838,Gonçalo Silva,27,Portugal,72,74,Os Belenenses,3000000.0,5000.0,6'1,174.0,Europe
3839,C. Arboleda,32,Colombia,72,72,Independiente Santa Fe,1700000.0,4000.0,5'7,132.0,South America
3840,G. Lajud,24,Mexico,72,76,Club Tijuana,2900000.0,10000.0,5'11,176.0,North America
3841,Unai Simón,21,Spain,72,82,Athletic Club de Bilbao,3900000.0,8000.0,6'3,196.0,Europe
3842,C. Knasmüllner,26,Austria,72,75,SK Rapid Wien,3900000.0,14000.0,5'11,154.0,Europe
3843,L. Lollo,31,Argentina,72,72,River Plate,2100000.0,15000.0,6'0,187.0,South America
3844,A. Milić,24,Croatia,72,77,RSC Anderlecht,3500000.0,11000.0,6'2,187.0,Europe
3845,Ronaldo Vieira,19,United Kingdom,72,81,Sampdoria,4000000.0,9000.0,5'10,154.0,Europe
3846,S. Bahoken,26,Cameroon,72,75,Angers SCO,3900000.0,18000.0,6'1,172.0,Africa
3847,Ontiveros,20,Spain,72,82,Málaga CF,5000000.0,6000.0,5'7,165.0,Europe
3848,N. Höfler,28,Germany,72,72,SC Freiburg,2500000.0,17000.0,5'11,172.0,Europe
3849,K. Acosta,22,United States,72,80,Colorado Rapids,4500000.0,6000.0,5'10,150.0,North America
3850,Kwoun Sun Tae,33,"Korea, Republic of",72,72,Kashima Antlers,1600000.0,7000.0,6'0,187.0,Asia
3851,A. Çamdalı,34,Germany,72,72,Çaykur Rizespor,950000.0,10000.0,6'1,165.0,Europe
3852,B. Linssen,27,Netherlands,72,72,Vitesse,3300000.0,12000.0,5'7,154.0,Europe
3853,M. Trotta,25,Italy,72,74,Sassuolo,3900000.0,34000.0,6'2,187.0,Europe
3854,J. Dezi,26,Italy,72,74,Parma,3700000.0,28000.0,5'10,152.0,Europe
3855,Choi Chul Soon,31,"Korea, Republic of",72,72,Jeonbuk Hyundai Motors,2000000.0,8000.0,5'9,154.0,Asia
3856,Danilo,26,Brazil,72,73,VfL Bochum 1848,3000000.0,13000.0,5'7,159.0,South America
3857,J. Savarino,21,Venezuela,72,82,Real Salt Lake,5000000.0,5000.0,5'7,146.0,South America
3858,M. Zeman,29,Czech Republic,72,72,Viktoria Plzeň,3000000.0,1000.0,5'9,146.0,Europe
3859,N. Baker,27,United Kingdom,72,74,Bristol City,3000000.0,27000.0,6'2,181.0,Europe
3860,M. Saymak,25,Netherlands,72,76,Çaykur Rizespor,4000000.0,11000.0,5'7,139.0,Europe
3861,Yeom Ki Hun,35,"Korea, Republic of",72,72,Suwon Samsung Bluewings,1400000.0,6000.0,6'0,172.0,Asia
3862,J. Murphy,28,United Kingdom,72,72,Rangers FC,3100000.0,39000.0,5'10,159.0,Europe
3863,E. Prib,28,Russia,72,72,Hannover 96,3100000.0,24000.0,5'11,170.0,Europe
3864,L. Phiri,23,South Africa,72,78,En Avant de Guingamp,4200000.0,14000.0,5'8,139.0,Africa
3865,Jubal,24,Brazil,72,76,Portimonense SC,3400000.0,6000.0,6'2,176.0,South America
3866,A. Cubas,22,Argentina,72,79,Club Atlético Talleres,3700000.0,10000.0,5'7,132.0,South America
3867,Luismi,26,Spain,72,77,Real Valladolid CF,3400000.0,13000.0,5'10,174.0,Europe
3868,A. Adnan,24,Iraq,72,75,Atalanta,3900000.0,16000.0,6'1,154.0,Asia
3869,Diogo Gonçalves,21,Portugal,72,81,Nottingham Forest,4800000.0,7000.0,5'10,157.0,Europe
3870,Rui Fonte,28,Portugal,72,72,LOSC Lille,3200000.0,41000.0,5'11,161.0,Europe
3871,J. Bennett,28,United Kingdom,72,72,Cardiff City,2500000.0,30000.0,5'10,163.0,Europe
3872,S. Ortega,25,Germany,72,76,DSC Arminia Bielefeld,2900000.0,8000.0,6'1,194.0,Europe
3873,B. Białkowski,30,Poland,72,72,Ipswich Town,2000000.0,6000.0,6'4,190.0,Europe
3874,Ricardo Ryller,24,Brazil,72,77,SC Braga,4099999.9999999995,9000.0,6'0,170.0,South America
3875,J. Börner,27,Germany,72,72,DSC Arminia Bielefeld,2600000.0,11000.0,6'2,190.0,Europe
3876,Fran Mérida,28,Spain,72,73,CA Osasuna,2800000.0,8000.0,5'10,163.0,Europe
3877,Tito,32,Spain,72,72,Rayo Vallecano,1700000.0,13000.0,5'9,141.0,Europe
3878,S. Sensi,22,Italy,72,77,Sassuolo,3500000.0,26000.0,5'6,137.0,Europe
3879,A. Weimann,26,Austria,72,72,Bristol City,3400000.0,32000.0,5'10,168.0,Europe
3880,Fernando Canesín,26,Brazil,72,74,KV Oostende,3800000.0,12000.0,5'9,159.0,South America
3881,I. Runje,27,Croatia,72,72,Jagiellonia Białystok,2600000.0,7000.0,6'4,183.0,Europe
3882,Vigaray,23,Spain,72,78,Deportivo Alavés,3600000.0,13000.0,6'0,154.0,Europe
3883,P. Olayinka,22,Nigeria,72,79,SK Slavia Praha,4400000.0,1000.0,6'2,170.0,Africa
3884,R. Delgado,28,Argentina,72,72,Defensa y Justicia,2500000.0,10000.0,5'9,172.0,South America
3885,J. Wiland,37,Sweden,72,72,Hammarby IF,210000.0,3000.0,6'2,172.0,Europe
3886,V. Figueroa,34,Argentina,72,72,Newell's Old Boys,1600000.0,14000.0,5'6,139.0,South America
3887,Chiquinho,22,Portugal,72,78,Moreirense FC,4300000.0,5000.0,5'9,146.0,Europe
3888,C. Trimmel,31,Austria,72,72,1. FC Union Berlin,2000000.0,20000.0,6'2,179.0,Europe
3889,S. Lletget,25,United States,72,74,LA Galaxy,3800000.0,6000.0,5'10,165.0,North America
3890,C. Jullien,25,France,72,76,Toulouse Football Club,3400000.0,17000.0,6'5,194.0,Europe
3891,O. Alderete,21,Paraguay,72,82,Club Atlético Huracán,4400000.0,8000.0,6'2,170.0,South America
3892,A. Saelemaekers,19,Belgium,72,84,RSC Anderlecht,5500000.0,7000.0,5'9,146.0,Europe
3893,M. Vrančić,29,Bosnia and Herzegovina,72,72,Norwich City,3000000.0,21000.0,6'2,172.0,Europe
3894,J. Uronen,23,Finland,72,77,KRC Genk,3500000.0,9000.0,5'10,163.0,Europe
3895,K. Schindler,24,Ghana,72,75,Holstein Kiel,3900000.0,9000.0,5'11,170.0,Africa
3896,Sin Jin Ho,29,"Korea, Republic of",72,72,FC Seoul,3000000.0,7000.0,5'10,159.0,Asia
3897,L. Haraslín,22,Slovakia,72,80,Lechia Gdańsk,4600000.0,6000.0,6'0,157.0,Europe
3898,A. Fiola,28,Hungary,72,72,,0.0,0.0,6'0,154.0,Europe
3899,X. Schlager,20,Austria,72,83,FC Red Bull Salzburg,5500000.0,18000.0,5'9,161.0,Europe
3900,N. Jelavić,32,Croatia,72,72,Guizhou Hengfeng FC,2500000.0,13000.0,6'2,194.0,Europe
3901,T. Ben Haim,28,Israel,72,72,Sparta Praha,3100000.0,1000.0,5'11,165.0,Asia
3902,Clinton Mata,25,Angola,72,73,Club Brugge KV,3700000.0,15000.0,5'11,159.0,Africa
3903,S. Hutchinson,28,United Kingdom,72,72,Sheffield Wednesday,2500000.0,20000.0,6'0,161.0,Europe
3904,J. Russell,28,United Kingdom,72,72,Sporting Kansas City,3100000.0,7000.0,5'10,168.0,Europe
3905,S. Uçan,24,Turkey,72,77,Empoli,4099999.9999999995,35000.0,6'0,143.0,Asia
3906,Renato Neto,26,Brazil,72,73,KAA Gent,3600000.0,15000.0,6'1,183.0,South America
3907,J. Meram,29,Iraq,72,72,Columbus Crew SC,3000000.0,7000.0,6'1,165.0,Asia
3908,Jorge Miramón,29,Spain,72,72,SD Huesca,2400000.0,16000.0,5'9,163.0,Europe
3909,A. Murgia,21,Italy,72,78,Lazio,4200000.0,22000.0,6'1,172.0,Europe
3910,I. Ávila,27,Peru,72,72,Monarcas Morelia,3300000.0,9000.0,5'6,150.0,South America
3911,T. Kaminski,25,Belgium,72,75,KV Kortrijk,2800000.0,8000.0,6'3,176.0,Europe
3912,K. Zohore,24,Denmark,72,77,Cardiff City,4200000.0,30000.0,6'4,212.0,Europe
3913,L. Ceppitelli,28,Italy,72,73,Cagliari,2800000.0,21000.0,6'2,183.0,Europe
3914,Nuno Coelho,30,Portugal,72,72,Os Belenenses,2300000.0,5000.0,6'0,168.0,Europe
3915,C. Mulgrew,32,United Kingdom,72,72,Blackburn Rovers,1800000.0,27000.0,6'3,183.0,Europe
3916,D. Dwyer,27,United States,72,72,Orlando City SC,3300000.0,7000.0,5'9,174.0,North America
3917,J. Carrizo,34,Argentina,72,72,Monterrey,1300000.0,22000.0,6'2,192.0,South America
3918,F. Peluso,34,Italy,72,72,Sassuolo,875000.0,30000.0,6'2,181.0,Europe
3919,M. van der Werff,29,Netherlands,72,72,Vitesse,2400000.0,11000.0,6'1,181.0,Europe
3920,M. Piedrahita,33,Colombia,72,72,Junior FC,1200000.0,3000.0,5'9,174.0,South America
3921,V. Ayala,30,Paraguay,72,72,Gimnasia y Esgrima La Plata,2900000.0,11000.0,5'10,154.0,South America
3922,R. Alvarado,19,Mexico,72,79,Cruz Azul,4200000.0,9000.0,5'9,154.0,North America
3923,D. Rossi,20,Uruguay,72,83,Los Angeles FC,5500000.0,5000.0,5'7,150.0,South America
3924,F. Pisacane,32,Italy,72,72,Cagliari,1800000.0,20000.0,5'10,170.0,Europe
3925,U. Ćosić,25,Serbia,72,76,AEK Athens,3400000.0,1000.0,6'2,170.0,Europe
3926,Sebá,26,Brazil,72,73,Chongqing Dangdai Lifan FC SWM Team,3700000.0,9000.0,5'10,161.0,South America
3927,D. Peralta,33,Colombia,72,72,Once Caldas,1300000.0,3000.0,6'2,185.0,South America
3928,R. Koch,21,Germany,72,80,SC Freiburg,4000000.0,11000.0,6'4,187.0,Europe
3929,A. Ghazal,26,Egypt,72,75,Vancouver Whitecaps FC,3200000.0,6000.0,6'2,185.0,Africa
3930,A. Federici,33,Australia,72,72,Stoke City,1600000.0,22000.0,6'2,198.0,Oceania
3931,David Simón,28,Spain,72,72,Deportivo de La Coruña,2500000.0,8000.0,5'9,150.0,Europe
3932,M. Oršić,25,Croatia,72,74,Dinamo Zagreb,3800000.0,1000.0,5'10,152.0,Europe
3933,Alexandre Frandeira,30,Brazil,72,72,Sport Club do Recife,2300000.0,11000.0,6'4,187.0,South America
3934,A. Tettey,32,Norway,72,72,Norwich City,1800000.0,19000.0,5'11,150.0,Europe
3935,G. Hanley,26,United Kingdom,72,74,Norwich City,3100000.0,19000.0,6'2,179.0,Europe
3936,Cristian Herrera,27,Spain,72,73,CD Lugo,3600000.0,8000.0,6'2,187.0,Europe
3937,R. Green,38,United Kingdom,72,72,Chelsea,210000.0,28000.0,6'2,203.0,Europe
3938,Gelson Dala,21,Angola,72,82,Rio Ave FC,5000000.0,8000.0,5'9,143.0,Africa
3939,M. Higashiguchi,32,Japan,72,72,Gamba Osaka,1800000.0,7000.0,6'0,172.0,Asia
3940,Jorge Teixeira,31,Portugal,72,72,Sint-Truidense VV,2100000.0,9000.0,6'2,196.0,Europe
3941,R. Woods,24,United Kingdom,72,77,Stoke City,3500000.0,23000.0,5'8,154.0,Europe
3942,S. Martinsson Ngouali,26,Gabon,72,74,Hammarby IF,3700000.0,5000.0,5'9,165.0,Africa
3943,W. Ángel,25,Venezuela,72,78,,0.0,0.0,6'2,185.0,South America
3944,D. Villalpando,26,Mexico,72,73,Club Necaxa,3600000.0,10000.0,5'8,148.0,North America
3945,M. Šitum,26,Croatia,72,73,Dinamo Zagreb,3700000.0,1000.0,5'10,168.0,Europe
3946,T. Carroll,26,United Kingdom,72,74,Swansea City,3700000.0,21000.0,5'10,146.0,Europe
3947,R. Elliot,32,Ireland,72,72,Newcastle United,1800000.0,23000.0,6'3,207.0,Europe
3948,Sergio Sánchez,32,Spain,72,72,Cádiz CF,1800000.0,7000.0,6'1,172.0,Europe
3949,I. Cofie,26,Ghana,72,73,Real Sporting de Gijón,3600000.0,8000.0,6'0,165.0,Africa
3950,S. Byram,24,United Kingdom,72,75,Nottingham Forest,3300000.0,37000.0,6'0,159.0,Europe
3951,M. Cauteruccio,31,Uruguay,72,72,Cruz Azul,2800000.0,20000.0,5'11,168.0,South America
3952,K. Molino,28,Trinidad and Tobago,72,72,Minnesota United FC,3100000.0,7000.0,5'8,154.0,North America
3953,L. Ariaudo,29,Italy,72,72,Frosinone,2400000.0,12000.0,6'1,174.0,Europe
3954,P. Klingmann,30,Germany,72,72,SV Sandhausen,2200000.0,5000.0,5'11,174.0,Europe
3955,M. Thuram,20,France,72,80,En Avant de Guingamp,4600000.0,12000.0,6'4,194.0,Europe
3956,Y. Cahuzac,33,France,72,72,Toulouse Football Club,1300000.0,18000.0,5'10,154.0,Europe
3957,Elustondo,31,Spain,72,72,Rayo Vallecano,2700000.0,14000.0,6'0,174.0,Europe
3958,S. Downing,33,United Kingdom,72,72,Middlesbrough,1900000.0,36000.0,5'11,141.0,Europe
3959,L. Immers,32,Netherlands,72,72,ADO Den Haag,2400000.0,8000.0,6'2,172.0,Europe
3960,C. Menéndez,30,Argentina,72,72,Tiburones Rojos de Veracruz,3000000.0,8000.0,6'1,176.0,South America
3961,Vágner Corraldo,30,Brazil,72,72,Atlético Paranaense,2200000.0,10000.0,5'9,154.0,South America
3962,Luso,33,Spain,72,72,CF Rayo Majadahonda,1300000.0,5000.0,6'0,165.0,Europe
3963,C. Mavinga,27,"Congo, The Democratic Republic of the",72,73,Toronto FC,2900000.0,6000.0,6'1,172.0,Africa
3964,F. Melchiorri,31,Italy,72,72,Perugia,2800000.0,4000.0,6'0,168.0,Europe
3965,T. Doumbia,28,Mali,72,72,Dinamo Zagreb,2500000.0,1000.0,6'4,183.0,Africa
3966,A. Trondsen,23,Norway,71,80,Rosenborg BK,3600000.0,5000.0,6'0,172.0,Europe
3967,Sivera,21,Spain,71,78,Deportivo Alavés,2500000.0,7000.0,6'0,165.0,Europe
3968,Allison Sireo,30,Brazil,71,71,América FC (Minas Gerais),1800000.0,10000.0,6'4,187.0,South America
3969,Z. Stieber,29,Hungary,71,71,DC United,2300000.0,6000.0,5'9,148.0,Europe
3970,S. Berahino,24,Burundi,71,76,Stoke City,3200000.0,25000.0,5'11,181.0,Africa
3971,O. Skúlason,35,Iceland,71,71,,0.0,0.0,6'0,179.0,Europe
3972,L. Koutris,22,Greece,71,78,Olympiacos CFP,2800000.0,1000.0,5'7,159.0,Europe
3973,M. Pektemek,29,Turkey,71,71,Beşiktaş JK,2400000.0,31000.0,6'0,159.0,Asia
3974,R. Schüller,27,Finland,71,71,Minnesota United FC,2000000.0,5000.0,5'10,148.0,Europe
3975,Sergio Herrera,25,Spain,71,73,CA Osasuna,2000000.0,5000.0,6'4,176.0,Europe
3976,E. Kawashima,35,Japan,71,71,RC Strasbourg Alsace,550000.0,6000.0,6'1,163.0,Asia
3977,L. Memushaj,31,Albania,71,71,Pescara,2000000.0,4000.0,5'9,154.0,Europe
3978,E. Fernandes,22,Switzerland,71,79,Fiorentina,3500000.0,36000.0,6'3,154.0,Europe
3979,M. Valenzuela,19,Argentina,71,81,Columbus Crew SC,3200000.0,5000.0,5'6,146.0,South America
3980,H. Lansbury,27,United Kingdom,71,71,Aston Villa,2400000.0,13000.0,6'1,187.0,Europe
3981,A. Gunn,22,United Kingdom,71,83,Southampton,3300000.0,17000.0,6'5,170.0,Europe
3982,A. Kamara,23,France,71,76,Fulham,3200000.0,31000.0,5'10,179.0,Europe
3983,R. Riou,30,France,71,71,Sporting de Charleroi,1500000.0,7000.0,6'2,179.0,Europe
3984,Jung Sung Ryong,33,"Korea, Republic of",71,71,Kawasaki Frontale,1200000.0,5000.0,6'3,198.0,Asia
3985,A. Caracciolo,28,Italy,71,71,Hellas Verona,1900000.0,4000.0,6'1,183.0,Europe
3986,Ewandro,22,Brazil,71,80,FK Austria Wien,3600000.0,14000.0,5'9,148.0,South America
3987,G. Holtmann,23,Germany,71,78,1. FSV Mainz 05,3300000.0,15000.0,6'0,170.0,Europe
3988,Erik Morán,27,Spain,71,73,AEK Athens,2300000.0,1000.0,6'2,163.0,Europe
3989,Tobias Figueiredo,24,Portugal,71,75,Nottingham Forest,2600000.0,23000.0,6'2,185.0,Europe
3990,I. Rossi,24,Argentina,71,77,Club Atlético Huracán,2800000.0,11000.0,6'0,168.0,South America
3991,Miltisco Paulino,30,Brazil,71,71,Santos,1800000.0,11000.0,5'11,170.0,South America
3992,P. Brlek,24,Croatia,71,76,FC Lugano,3100000.0,10000.0,5'11,163.0,Europe
3993,G. Bettini,25,Argentina,71,74,Rosario Central,2400000.0,9000.0,5'7,163.0,South America
3994,R. Kent,21,United Kingdom,71,82,Rangers FC,4099999.9999999995,42000.0,5'8,143.0,Europe
3995,Jordi Calavera,22,Spain,71,77,SD Eibar,2700000.0,11000.0,6'0,163.0,Europe
